id,query_predicted,query_expected,result_predicted,result_expected,query_accuracy,execution_accuracy,VQA
5,"SELECT func_vqa(""Is the cardiac silhouette's width larger than half of the total thorax width?"", ""STUDY_ID"") AS result FROM TB_CXR WHERE ""SUBJECT_ID"" = 10284038 AND strftime('%Y', ""STUDYDATETIME"") = '2105' ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select func_vqa(""is the cardiac silhouette's width larger than half of the total thorax width?"", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10284038 and strftime('%y',tb_cxr.studydatetime) = '2105' order by tb_cxr.studydatetime desc limit 1 ) ) as t1","   result
0       1","   func_vqa(""is the cardiac silhouette's width larger than half of the total thorax width?"", t1.study_id)
0                                                  1                                                     ",False,True,local
21,"SELECT func_vqa(""Are there any anatomical findings or diseases on this chest X-ray?"", ""STUDY_ID"") FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 19243401 AND strftime('%Y', ""STUDYDATETIME"") = strftime('%Y', 'now') ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select (func_vqa(""can you confirm the presence of anatomical findings?"", t1.study_id)) or (func_vqa(""can you confirm the presence of diseases?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19243401 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) as t1","Empty DataFrame
Columns: [func_vqa(""Are there any anatomical findings or diseases on this chest X-ray?"", ""STUDY_ID"")]
Index: []","Empty DataFrame
Columns: [(func_vqa(""can you confirm the presence of anatomical findings?"", t1.study_id)) or (func_vqa(""can you confirm the presence of diseases?"", t1.study_id))]
Index: []",False,True,local
49,"SELECT func_vqa(""Identify abnormalities in the abdomen or right chest wall?"", ""STUDY_ID"") FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 15491652 AND strftime('%Y-%m', ""STUDYDATETIME"") = '2015-06' ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select (func_vqa(""can you identify any abnormalities in the abdomen?"", t1.study_id)) or (func_vqa(""can you identify any abnormalities in the right chest wall?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 15491652 and strftime('%y-%m',tb_cxr.studydatetime) = '2105-06' order by tb_cxr.studydatetime desc limit 1 ) ) as t1","Empty DataFrame
Columns: [func_vqa(""Identify abnormalities in the abdomen or right chest wall?"", ""STUDY_ID"")]
Index: []","   (func_vqa(""can you identify any abnormalities in the abdomen?"", t1.study_id)) or (func_vqa(""can you identify any abnormalities in the right chest wall?"", t1.study_id))
0                                                  1                                                                                                                      ",False,False,local
66,"SELECT ""STUDY_ID"", ""study_id_related"" FROM ( SELECT ""STUDY_ID"", func_vqa(""Are there any tubes or lines related to the abdomen?"", ""STUDY_ID"") AS abdomen_findings, func_vqa(""Are there any tubes or lines in the right lung?"", ""STUDY_ID"") AS right_lung_findings, CASE WHEN func_vqa(""Are there any tubes or lines related to the abdomen?"", ""STUDY_ID"") || func_vqa(""Are there any tubes or lines in the right lung?"", ""STUDY_ID"") THEN ""STUDY_ID"" END AS ""study_id_related"" FROM TB_CXR WHERE ""SUBJECT_ID"" = 19243401 AND strftime('%m', ""STUDYDATETIME"") = '12' AND strftime('%Y', ""STUDYDATETIME"") = strftime('%Y', date('now')) ORDER BY ""STUDYDATETIME"" ASC LIMIT 1 ) WHERE ""abdomen_findings"" LIKE '%yes%' AND ""right_lung_findings"" LIKE '%yes%'","select (func_vqa(""have any tubes/lines related to the abdomen been noticed?"", t1.study_id)) and (func_vqa(""have any tubes/lines related to the right lung been noticed?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19243401 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') and strftime('%m',tb_cxr.studydatetime) = '12' order by tb_cxr.studydatetime asc limit 1 ) ) as t1","Empty DataFrame
Columns: [STUDY_ID, study_id_related]
Index: []","Empty DataFrame
Columns: [(func_vqa(""have any tubes/lines related to the abdomen been noticed?"", t1.study_id)) and (func_vqa(""have any tubes/lines related to the right lung been noticed?"", t1.study_id))]
Index: []",False,True,local
71,"SELECT ""SUBJECT_ID"", ""HADM_ID"", ""STUDY_ID"", func_vqa('airspace opacity or aspiration', ""STUDY_ID"") FROM TB_CXR WHERE ""STUDY_ID"" = 55277734;","select (func_vqa(""can you find airspace opacity?"", t1.study_id)) or (func_vqa(""can you find aspiration?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 55277734 ) as t1","   subject_id     hadm_id  study_id  \
0    17201840  22870487.0  55277734   

  func_vqa('airspace opacity or aspiration', ""STUDY_ID"")  
0                                                         ","   (func_vqa(""can you find airspace opacity?"", t1.study_id)) or (func_vqa(""can you find aspiration?"", t1.study_id))
0                                                  1                                                               ",False,False,local
111,"SELECT func_vqa(""Give all anatomical sites associated with anatomical findings"", ""STUDY_ID"") AS ""Anatomical_Sites"" FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 16015533 ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select func_vqa(""please identify all anatomical sites associated with any anatomical findings."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16015533 order by tb_cxr.studydatetime desc limit 1 ) ) as t1","                                    Anatomical_Sites
0  left costophrenic angle, left lower lung zone,...","  func_vqa(""please identify all anatomical sites associated with any anatomical findings."", t1.study_id)
0  left costophrenic angle, left lower lung zone,...                                                    ",False,True,local
163,"SELECT func_vqa(""enumerate all detected abnormalities"", ""STUDY_ID"") FROM ""TB_CXR"" WHERE ""STUDY_ID"" = 57883509;","select func_vqa(""enumerate all detected abnormalities."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 57883509 ) as t1","  func_vqa(""enumerate all detected abnormalities"", ""STUDY_ID"")
0                                       lung opacity          ","  func_vqa(""enumerate all detected abnormalities."", t1.study_id)
0                                       lung opacity            ",False,True,local
439,"SELECT ""LOCATION"" FROM func_vqa(""What are the anatomical locations associated with anatomical findings?"", ""59940756"");","select func_vqa(""specify all anatomical locations associated with any anatomical findings."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 59940756 ) as t1","                                               error
0  Database error occurred: Execution failed on s...","  func_vqa(""specify all anatomical locations associated with any anatomical findings."", t1.study_id)
0  left lower lung zone, left lung, mediastinum, ...                                                ",False,False,local
460,"SELECT func_vqa(""Which anatomical area is associated with vascular calcification, the mediastinum or the upper mediastinum?"", ""STUDY_ID"") FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 18386349 ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select func_vqa(""which anatomical area is associated with vascular calcification, the mediastinum or the upper mediastinum?"", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 18386349 order by tb_cxr.studydatetime desc limit 1 ) ) as t1","  func_vqa(""Which anatomical area is associated with vascular calcification, the mediastinum or the upper mediastinum?"", ""STUDY_ID"")
0                                  upper mediastinum                                                                                ","  func_vqa(""which anatomical area is associated with vascular calcification, the mediastinum or the upper mediastinum?"", t1.study_id)
0                                  upper mediastinum                                                                                 ",False,True,local
518,"SELECT func_vqa(""What are the observed abnormalities?"", ""STUDY_ID"") FROM ""TB_CXR"" WHERE ""STUDY_ID"" = 50078800;","select func_vqa(""outline all the observed abnormalities."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 50078800 ) as t1","  func_vqa(""What are the observed abnormalities?"", ""STUDY_ID"")
0                    endotracheal tube, lung opacity          ","  func_vqa(""outline all the observed abnormalities."", t1.study_id)
0                    endotracheal tube, lung opacity              ",False,True,local
10,"SELECT FUNC_VQA(""Are there cardiac pacer and wires present?"", ""57179088"") AS ""57179088_pacer_and_wires"", FUNC_VQA(""Are there cardiac pacer and wires present?"", ""54711520"") AS ""54711520_pacer_and_wires"" ;","select ( select (func_vqa(""are there cardiac pacer and wires?"", t1.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 57179088 ) as t1 ) and ( select (func_vqa(""are there cardiac pacer and wires?"", t2.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 54711520 ) as t2 )","   57179088_pacer_and_wires  54711520_pacer_and_wires
0                         1                         1","   ( select (func_vqa(""are there cardiac pacer and wires?"", t1.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 57179088 ) as t1 ) and ( select (func_vqa(""are there cardiac pacer and wires?"", t2.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 54711520 ) as t2 )
0                                                  1                                                                                                                                                                                                                                                                                        ",False,False,local
13,"SELECT ""STUDY_ID"", func_vqa(""Is there any evidence of abnormalities still absent?"") as ""Abnormalities_Still_Absent"" FROM ""TB_CXR"" WHERE ""STUDY_ID"" = 55949143 ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""is there any evidence of abnormality?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 55949143 ) as t1 ) and ( select (func_vqa(""is there any evidence of abnormality?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = ( select distinct tb_cxr.subject_id from tb_cxr where tb_cxr.study_id = 55949143 ) and tb_cxr.studydatetime < ( select tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id = 55949143 ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","                                               error
0  Database error occurred: Execution failed on s...","   ( select (func_vqa(""is there any evidence of abnormality?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 55949143 ) as t1 ) and ( select (func_vqa(""is there any evidence of abnormality?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = ( select distinct tb_cxr.subject_id from tb_cxr where tb_cxr.study_id = 55949143 ) and tb_cxr.studydatetime < ( select tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id = 55949143 ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                                  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",False,False,local
39,"SELECT ""STUDY_ID"", func_vqa(""Do the findings indicate any technical assessments still absent compared to the earlier study?"", ""STUDY_ID"") AS ""Assessment_Status"" FROM TB_CXR WHERE ""SUBJECT_ID"" = 12716528 ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""do the findings indicate any technical assessments?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and strftime('%y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""do the findings indicate any technical assessments?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and strftime('%y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","   study_id Assessment_Status
0  50289197                  ","   ( select (func_vqa(""do the findings indicate any technical assessments?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and strftime('%Y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""do the findings indicate any technical assessments?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and strftime('%Y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                                  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",False,False,local
76,"SELECT func_vqa(""compared to the previous study, does the last study for patient 17281190 this year reveal any abnormalities in the left mid lung zone still absent?"", ""STUDY_ID"") FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 17281190 AND strftime('%Y', ""STUDYDATETIME"") = strftime('%Y', 'now') ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""does the left mid lung zone reveal any abnormality?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""does the left mid lung zone reveal any abnormality?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","Empty DataFrame
Columns: [func_vqa(""compared to the previous study, does the last study for patient 17281190 this year reveal any abnormalities in the left mid lung zone still absent?"", ""STUDY_ID"")]
Index: []","  ( select (func_vqa(""does the left mid lung zone reveal any abnormality?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""does the left mid lung zone reveal any abnormality?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                               None                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",False,False,local
106,"SELECT func_vqa(""does the second to last study reveal still present fluid overload/heart failure in the right lung compared to the first study this year?"", ""STUDY_ID"") FROM TB_CXR WHERE ""SUBJECT_ID"" = 16345504 AND strftime('%Y', ""STUDYDATETIME"") = strftime('%Y', date('now')) ORDER BY ""STUDYDATETIME"" LIMIT 1 OFFSET 1;","select ( select (func_vqa(""does the right lung reveal fluid overload/heart failure?"", t1.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16345504 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 offset 1 ) ) as t1 ) and ( select (func_vqa(""does the right lung reveal fluid overload/heart failure?"", t2.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16345504 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime asc limit 1 ) ) as t2 )","Empty DataFrame
Columns: [func_vqa(""does the second to last study reveal still present fluid overload/heart failure in the right lung compared to the first study this year?"", ""STUDY_ID"")]
Index: []","  ( select (func_vqa(""does the right lung reveal fluid overload/heart failure?"", t1.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16345504 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 offset 1 ) ) as t1 ) and ( select (func_vqa(""does the right lung reveal fluid overload/heart failure?"", t2.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16345504 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime asc limit 1 ) ) as t2 )
0                                               None                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",False,False,local
256,"SELECT ""anatomical_location"" FROM func_vqa(""enumerate all anatomical locations related to any technical assessments that are still present based on the first study on the last hospital visit compared to the previous study"", ""study_id"") WHERE ""study_id"" IN ( SELECT DISTINCT ""study_id"" FROM TB_CXR cxr JOIN ( SELECT ""HADM_ID"", ""STUDY_ID"" FROM TB_CXR WHERE ""SUBJECT_ID"" = 16476036 ORDER BY ""STUDYDATETIME"" DESC LIMIT 2 ) sub ON cxr.""HADM_ID"" = sub.""HADM_ID"" AND cxr.""STUDY_ID"" = sub.""STUDY_ID"" )","select func_vqa(""enumerate all anatomical locations related to any technical assessments."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 16476036 and admissions.dischtime is not null order by admissions.admittime desc limit 1 ) order by tb_cxr.studydatetime asc limit 1 ) ) as t1 intersect select func_vqa(""enumerate all anatomical locations related to any technical assessments."", t2.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16476036 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 16476036 and admissions.dischtime is not null order by admissions.admittime desc limit 1 ) order by tb_cxr.studydatetime asc limit 1 ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2","                                               error
0  Database error occurred: Execution failed on s...","Empty DataFrame
Columns: [func_vqa(""enumerate all anatomical locations related to any technical assessments."", t1.study_id)]
Index: []",False,False,local
578,"SELECT func_vqa(""what anatomical findings in the right chest wall are still absent compared to the previous study?"", ""tb_cxr"".""STUDY_ID"") FROM ""TB_CXR"" WHERE ""TB_CXR"".""SUBJECT_ID"" = 10020740 AND strftime('%Y', ""TB_CXR"".""STUDYDATETIME"") = '2104' ORDER BY ""TB_CXR"".""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""can you find any anatomical findings in the right chest wall?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and strftime('%y',tb_cxr.studydatetime) = '2104' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""can you find any anatomical findings in the right chest wall?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and strftime('%y',tb_cxr.studydatetime) = '2104' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","  func_vqa(""what anatomical findings in the right chest wall are still absent compared to the previous study?"", ""tb_cxr"".""STUDY_ID"")
0                                       rib fracture                                                                                ","   ( select (func_vqa(""can you find any anatomical findings in the right chest wall?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and strftime('%Y',tb_cxr.studydatetime) = '2104' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""can you find any anatomical findings in the right chest wall?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and strftime('%Y',tb_cxr.studydatetime) = '2104' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                                  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",False,False,local
